resolution_bits,wer_mean,wer_std,cer_mean,cer_std
1,0.9998897887692083,0.2247337801930202,0.852126987899463,0.08763834031553101
2,0.9825872179493492,0.0880155429530441,0.8997093994122909,0.05475194819534838
3,1.013873415872692,0.23853943496841998,0.904695895650035,0.19057695325139365
4,1.085439552611697,0.4820037594900132,0.8412232166071972,0.3457505814057746
5,1.0015727341520326,0.44828292565380323,0.7342177262343789,0.3337255799126814
6,0.8638520088004302,0.3568075555205056,0.6058011603758994,0.2860928234238866
7,0.696906576833886,0.3436349752071382,0.45516993861634975,0.2569190581021648
8,0.5754571452682942,0.34043303493562505,0.3628645954067911,0.23709487840119758
9,0.49314037907438785,0.5246003157361122,0.30385493335139924,0.367606062840407
10,0.3948446315889339,0.3125263551294772,0.2416105236913021,0.2287664409498668
unquantized,0.06226702888431412,,0.023718807912770104,
