resolution_bits,wer_mean,wer_std,cer_mean,cer_std
1,1.0001541835135161,0.22825059098736106,0.8561866587671237,0.08929892550530598
2,0.9841056302433885,0.10611838298861606,0.898140173048998,0.05991103105797625
3,1.0264883816191475,0.2621889672052935,0.8794908088094433,0.20051192611597907
4,1.0621685768242688,0.5850811497995322,0.8065573086852948,0.5046080268298506
5,0.9758334073262884,0.7475012320809306,0.7103512621927582,0.6163198829958813
6,0.8102911433608212,0.39610687732565936,0.5444212135797603,0.28751100516697714
7,0.6816456846243221,0.3856141380853347,0.44269183709162246,0.2935665073936343
8,0.5504201439582219,0.33252442838919366,0.3426438685889436,0.2310298226796895
9,0.4554719331641489,0.32121355551551073,0.280444692129536,0.22591929842014435
10,0.37013922849572745,0.28902397525976947,0.2206410135843916,0.1912907631757622
unquantized,0.06227614515634812,,0.02344501140846452,
